Trial1,Trial2
245,245
245,245
245,245
245,245
245,245
245,245
245,245
245,245
245,245
245,245
258,233
246,223
254,230
246,222
253,229
250,226
259,234
251,227
268,242
248,224
243,219
260,235
245,222
250,226
244,220
243,220
261,237
291,263
257,232
253,229
262,237
243,219
245,222
272,246
255,231
278,252
254,229
250,226
252,227
257,232
251,226
269,243
247,223
256,231
246,224
250,226
285,258
250,226
243,220
243,218
244,221
260,235
271,245
281,253
246,222
255,230
245,221
251,227
244,220
253,229
250,226
245,221
272,245
244,221
244,221
260,235
248,224
250,225
255,230
250,225
243,220
244,220
263,238
250,226
246,222
244,221
250,226
254,230
257,232
280,253
243,220
247,223
265,239
252,228
285,257
247,223
247,223
243,219
249,225
259,233
262,237
243,220
250,225
258,233
254,230
245,221
264,239
266,241
245,222
270,243
